Date,AAPL,AMZN,AVGO,GOOGL,META,MSFT,NFLX,NVDA,ORCL,QQQ,SPY,TSLA
2010-01-04,6.424605846405029,6.695000171661377,1.3311047554016113,15.576998710632324,,23.17334747314453,7.639999866485596,0.4238302707672119,20.0699462890625,40.393577575683594,85.27920532226562,
2010-01-05,6.435714244842529,6.734499931335449,1.340985894203186,15.508401870727539,,23.180831909179688,7.3585710525512695,0.4300193786621094,20.045717239379883,40.393577575683594,85.50495147705078,
2010-01-06,6.333345413208008,6.612500190734863,1.351572871208191,15.117456436157227,,23.038576126098633,7.617143154144287,0.4327700138092041,19.75497055053711,40.149932861328125,85.56515502929688,
2010-01-07,6.321633815765381,6.5,1.3431028127670288,14.76552677154541,,22.79897117614746,7.485713958740234,0.4242887794971466,19.690349578857422,40.176029205322266,85.92633819580078,
2010-01-08,6.363663673400879,6.676000118255615,1.3529846668243408,14.962368965148926,,22.95621109008789,7.614285945892334,0.42520567774772644,19.93265151977539,40.506690979003906,86.2123031616211,
2010-01-11,6.307527542114258,6.515500068664551,1.3614535331726074,14.939751625061035,,22.664209365844727,7.604286193847656,0.4192458987236023,19.94072723388672,40.34135437011719,86.33269500732422,
2010-01-12,6.235776901245117,6.367499828338623,1.340985894203186,14.675558090209961,,22.514453887939453,7.481429100036621,0.4050341248512268,19.83572769165039,39.8366584777832,85.52751159667969,
2010-01-13,6.323737144470215,6.45550012588501,1.3000504970550537,14.591304779052734,,22.724105834960938,7.708570957183838,0.4105355441570282,20.029556274414062,40.33265686035156,86.24989318847656,
2010-01-14,6.287112236022949,6.367499828338623,1.300756573677063,14.659900665283203,,23.180831909179688,7.284286022186279,0.4041173756122589,20.507030487060547,40.36744689941406,86.48319244384766,
2010-01-15,6.182042121887207,6.35699987411499,1.287346363067627,14.415093421936035,,23.105960845947266,7.278571128845215,0.39219772815704346,20.426105499267578,39.897560119628906,85.51248931884766,
2010-01-19,6.455528259277344,6.380499839782715,1.2569979429244995,14.604476928710938,,23.285654067993164,7.314286231994629,0.3995327353477478,20.49894905090332,40.54150390625,86.58100891113281,
2010-01-20,6.356160640716553,6.289000034332275,1.2675846815109253,14.42527961730957,,22.903797149658203,7.320000171661377,0.39792823791503906,20.28044891357422,39.958473205566406,85.70059967041016,
2010-01-21,6.2462849617004395,6.330999851226807,1.2697019577026367,14.489155769348145,,22.469533920288086,7.312857151031494,0.39082247018814087,20.094310760498047,39.584293365478516,84.05266571044922,
2010-01-22,5.936478614807129,6.071499824523926,1.2393532991409302,13.669733047485352,,21.68336296081543,7.269999980926514,0.37729841470718384,19.544002532958984,38.426971435546875,82.17898559570312,
2010-01-25,6.096185207366943,6.015500068664551,1.245705008506775,13.420948028564453,,21.95290184020996,7.018570899963379,0.3837166726589203,19.446889877319336,38.557491302490234,82.60034942626953,
2010-01-26,6.182342052459717,5.973999977111816,1.2534687519073486,13.481093406677246,,22.08768081665039,7.135714054107666,0.371567964553833,19.325489044189453,38.592315673828125,82.25422668457031,
2010-01-27,6.240583419799805,6.137499809265137,1.2287665605545044,13.473138809204102,,22.2149658203125,7.281428813934326,0.3816535472869873,19.309307098388672,38.89686584472656,82.64552307128906,
2010-01-28,5.98270845413208,6.301499843597412,1.2506457567214966,13.279034614562988,,21.833110809326172,9.005714416503906,0.36881715059280396,18.993688583374023,37.89616394042969,81.69738006591797,
2010-01-29,5.765663146972656,6.270500183105469,1.2266497611999512,13.170920372009277,,21.09935188293457,8.89285659790039,0.35277169942855835,18.661882400512695,37.23482894897461,80.8094253540039,
2010-02-01,5.845817565917969,5.94350004196167,1.2351189851760864,13.247468948364258,,21.27155876159668,8.718570709228516,0.3798198699951172,18.791378021240234,37.6438102722168,82.06607055664062,
2010-02-02,5.879739761352539,5.906000137329102,1.2492340803146362,13.200246810913086,,21.30899429321289,8.835714340209961,0.3837166726589203,19.22838592529297,37.983184814453125,83.05937194824219,
2010-02-03,5.980906963348389,5.954999923706055,1.243587851524353,13.441328048706055,,21.436277389526367,8.850000381469727,0.3869255483150482,19.22029685974121,38.192020416259766,82.64552307128906,
2010-02-04,5.765363693237305,5.796999931335449,1.2153568267822266,13.09238338470459,,20.844778060913086,8.619999885559082,0.3644619286060333,18.70235252380371,37.08689880371094,80.09459686279297,
2010-02-05,5.867731094360352,5.869500160217285,1.2139447927474976,13.204473495483398,,20.97956085205078,8.691429138183594,0.3717970848083496,19.058439254760742,37.40016174316406,80.26011657714844,
2010-02-08,5.827504634857178,5.8414998054504395,1.2005351781845093,13.25865364074707,,20.75493049621582,8.699999809265137,0.37110936641693115,18.710447311401367,37.130409240722656,79.68070983886719,
2010-02-09,5.889647483825684,5.901500225067139,1.1991236209869385,13.332469940185547,,20.972070693969727,8.875714302062988,0.3681294023990631,19.026060104370117,37.51327133178711,80.68151092529297,
2010-02-10,5.857524871826172,5.868000030517578,1.185713529586792,13.283011436462402,,20.95709228515625,8.784285545349121,0.37523531913757324,18.70235252380371,37.43497848510742,80.52348327636719,
2010-02-11,5.964095592498779,6.004499912261963,1.2090049982070923,13.331473350524902,,21.05442237854004,9.05142879486084,0.39242687821388245,18.896581649780273,38.000579833984375,81.36627197265625,
2010-02-12,6.0154314041137695,5.982999801635742,1.2252373695373535,13.249955177307129,,20.912166595458984,9.025713920593262,0.3976990878582001,18.945131301879883,38.078895568847656,81.29854583740234,
2010-02-16,6.106090545654297,5.876500129699707,1.233707308769226,13.453256607055664,,21.325891494750977,9.265713691711426,0.4050341248512268,19.268842697143555,38.566192626953125,82.57778930664062,
