Date,ret_1d,ret_5d,ret_10d,ret_20d,ret_60d,ret_120d,mom_accel,vol_20d,vol_60d,parkinson_vol,vol_ratio,volume_ratio,volume_change,volume_mom,price_volume_div,rsi,ma5_bias,ma20_bias,ma_alignment,macd,macd_signal,macd_hist,bb_position,atr,amihud,hl_spread,roll_spread,52w_position,from_52w_high,overnight_ret,intraday_ret,gap,PE_Ratio,Forward_PE,PB_Ratio,PS_Ratio,ROE,ROA,Debt_to_Equity,Dividend_Yield,Earnings_Growth,Revenue_Growth,Profit_Margin,Operating_Margin,Market_Cap,Beta,52Week_High,52Week_Low
2010-04-30,-0.0564563888276337,-0.0444040690087793,-0.0791322616530578,-0.0876887130718698,-0.0693125129832573,,-0.1213020790979254,0.0234902084449669,0.0238074637456962,0.0058783003868078,0.9866741243788872,1.2737362849930791,0.4185486827215785,0.9123587176294112,0.363936023032634,32.82933246843325,-0.0332307995408349,-0.0716501755877179,-1,-0.0068455790190764,-0.0039384058931298,-0.0029071731259466,-0.0194468941915479,0.0143918144512908,5.572678670721968e-11,0.0496498729787443,-0.0,,,-0.012011940058261,-0.044984803532943,-0.012011940058261,53.21714,45.208736,45.28568,27.44781,1.09417,0.53094,10.584,0.02,0.612,0.556,0.52414,0.60842997,4534872047616.0,2.123,195.62,86.62
2010-05-03,-0.0108212425572146,-0.0638556020173699,-0.0848058336356563,-0.1109840460308315,-0.0226415007940348,,-0.1290389340717466,0.0230742982801397,0.0226381449362547,0.0052411702525751,1.019266302301408,1.2376617748507484,1.1970873074698836,1.0124120394235905,-0.0706257391260573,26.126056744275942,-0.0310513541145573,-0.0764019950649065,-1,-0.0081952172146907,-0.0047897681574419,-0.0034054490572487,0.0010489386660787,0.0146537841344533,5.2579485527754124e-11,0.0373230933015196,-0.0,,,0.0050921712352625,-0.0158327905120578,0.0050921712352625,53.21714,45.208736,45.28568,27.44781,1.09417,0.53094,10.584,0.02,0.612,0.556,0.52414,0.60842997,4534872047616.0,2.123,195.62,86.62
2010-05-04,-0.0508364705633326,-0.0855549278236871,-0.1343897445272572,-0.1348974738569811,-0.090628947756552,,-0.1425809122900027,0.0248856280474559,0.0234028664800639,0.0059743326601915,1.063358117632944,1.4621395482425683,1.1614757773148026,1.1412095417891457,-1.0680364619566427,18.762437133114304,-0.0642050558875964,-0.1173214646588938,-1,-0.0106037825710669,-0.0059525710401669,-0.0046512115308999,-0.1199572221888843,0.0154396855499049,5.4423440133248954e-11,0.0542373163540514,-0.0,,,-0.0154439665025967,-0.0359476788080942,-0.0154439665025967,53.21714,45.208736,45.28568,27.44781,1.09417,0.53094,10.584,0.02,0.612,0.556,0.52414,0.60842997,4534872047616.0,2.123,195.62,86.62
2010-05-05,-0.0169490808303078,-0.102722826046729,-0.1265060547648588,-0.1550118108717906,-0.1043853199280072,,-0.1327897615096257,0.0247737438989671,0.0234897910119372,0.0059704206768793,1.054660038753746,1.4425558529174891,0.979933468617778,1.2522508636322742,-0.6119710801915768,15.789414992365051,-0.0602721211124679,-0.1253204118521354,-1,-0.0128271290552352,-0.0073274826431806,-0.0054996464120546,-0.0623711076492833,0.0157507706811392,5.5336077988120546e-11,0.0379309970615322,-0.0,,,-0.0203389082417952,0.0034602041869435,-0.0203389082417952,53.21714,45.208736,45.28568,27.44781,1.09417,0.53094,10.584,0.02,0.612,0.556,0.52414,0.60842997,4534872047616.0,2.123,195.62,86.62
2010-05-06,-0.0206897633897988,-0.1471471403467453,-0.1481704398968237,-0.1587675700972659,-0.1158154793414998,,-0.1184035651828433,0.0248692806667274,0.0236054515513069,0.0129167807991002,1.0535397135985085,1.0891232545203662,0.0159655080192233,1.2580341855651922,-0.6747942000424705,18.08029871139212,-0.0495314900423641,-0.1364369444388339,-1,-0.01497145592309,-0.0088562772991625,-0.0061151786239275,-0.0283949055099107,0.0162910749757993,5.647292780561417e-11,0.116901418028122,-0.0,,,-0.0068965919896862,-0.0138889578757436,-0.0068965919896862,53.21714,45.208736,45.28568,27.44781,1.09417,0.53094,10.584,0.02,0.612,0.556,0.52414,0.60842997,4534872047616.0,2.123,195.62,86.62
2010-05-07,-0.0169015536574314,-0.1113942044054966,-0.1508519174746763,-0.1783404825248984,-0.1472205755182669,,-0.1667061008941276,0.0246851671687609,0.0235201648464487,0.0129780075228293,1.0495320645037112,1.2304576098590871,0.0802061330576902,1.253756392191192,-0.6831769045914331,17.456810436667553,-0.0431803934312795,-0.1431379032564824,-1,-0.0169197241185319,-0.0104689666630364,-0.0064507574554955,0.0092786718126663,0.0166512898455828,5.773859735514662e-11,0.0623209245517078,-0.0,,,0.0091547383666317,-0.0258199174352948,0.0091547383666317,53.21714,45.208736,45.28568,27.44781,1.09417,0.53094,10.584,0.02,0.612,0.556,0.52414,0.60842997,4534872047616.0,2.123,195.62,86.62
2010-05-10,0.0429799923294584,-0.0630631128098462,-0.122891781793654,-0.1583816125360163,-0.1495326314977276,,-0.1612801661007316,0.0266857669662015,0.0234243504115156,0.0127375804359188,1.1392318889271114,1.020737582761436,-0.0925102783019392,1.2046687499322395,-1.1167259309958402,26.061722761611165,0.0115325009151394,-0.0987311705632555,-1,-0.017156198759042,-0.0118064130822375,-0.0053497856768045,0.1739986816058619,0.0175681769358632,6.010476322789906e-11,0.0398351440291413,-0.0,,,0.0601720054146197,-0.0162162488703309,0.0601720054146197,53.21714,45.208736,45.28568,27.44781,1.09417,0.53094,10.584,0.02,0.612,0.556,0.52414,0.60842997,4534872047616.0,2.123,195.62,86.62
2010-05-11,-0.0109891660310255,-0.0237291010051826,-0.1072538873050503,-0.1845981877787077,-0.1700291212146486,,-0.2137354346018722,0.0257962467356441,0.0233562182014792,0.0126536050354223,1.1044701891854367,0.8562813040711378,-0.3677450250729005,1.0938354281375535,-0.4738577006967537,27.5509508246831,0.0053056011022233,-0.0995500324130141,-1,-0.01743853019827,-0.012932836505444,-0.004505693692826,0.1762227435344631,0.0169951217539284,5.8150232913288026e-11,0.0277777501830358,-0.0,,,-0.0096155576122093,-0.0013869446651487,-0.0096155576122093,53.21714,45.208736,45.28568,27.44781,1.09417,0.53094,10.584,0.02,0.612,0.556,0.52414,0.60842997,4534872047616.0,2.123,195.62,86.62
2010-05-12,0.0194445412538297,0.0124135173037125,-0.0915844603216338,-0.1789709696072078,-0.1692134836421108,,-0.1857276749212685,0.0261587644883516,0.0233720216080356,0.0127757606401699,1.1192341393077367,0.9307304765083592,-0.3228066484325689,1.0050735797116297,-0.4323822418154359,30.528341079133355,0.022284093660479,-0.0727641978163191,-1,-0.0169490049470194,-0.0137360701937591,-0.0032129347532603,0.2554641963144077,0.0165694247626724,5.966884589575047e-11,0.023841938232537,-0.0,,,0.0069445358937463,0.0124137972991615,0.0069445358937463,53.21714,45.208736,45.28568,27.44781,1.09417,0.53094,10.584,0.02,0.612,0.556,0.52414,0.60842997,4534872047616.0,2.123,195.62,86.62
2010-05-13,-0.0020434928396712,0.0316900812019875,-0.1201201639709864,-0.186563041227323,-0.1788117796631477,,-0.1815906318035717,0.0259266821141061,0.0233152816093076,0.0124986037950939,1.112003815718701,1.2736124389210264,0.2483946362903932,1.040705752191234,-0.3884460548382297,31.771850733819235,0.0138409183711278,-0.0647345021077152,-1,-0.0164271763079386,-0.014274291416595,-0.0021528848913436,0.2667563973721477,0.0169951260630983,5.899226873939626e-11,0.0532423664760375,-0.0,,,-0.0040871040282233,0.0020519979175066,-0.0040871040282233,53.21714,45.208736,45.28568,27.44781,1.09417,0.53094,10.584,0.02,0.612,0.556,0.52414,0.60842997,4534872047616.0,2.123,195.62,86.62
