Ticker,MSE,R2_TEST,IC,HitRate,Sharpe,TEST_start,TEST_end,#TEST_days
MSFT,419.87232853969863,0.9220718594699329,0.9674123968187918,0.49573863636363635,0.023162864621842538,2023-01-03,2025-10-23,705
NFLX,8975.841258771137,0.9040834180288382,0.9803653404872015,0.5170454545454546,-0.4630922361369542,2023-01-03,2025-10-23,705
GOOGL,163.01923204111296,0.8751073439048017,0.9380168243317619,0.49573863636363635,0.12457522248227525,2023-01-03,2025-10-23,705
META,4152.88877203395,0.8718240694331603,0.968469150969852,0.5113636363636364,0.732822895973261,2023-01-03,2025-10-23,705
ORCL,401.0696225810718,0.8554136714215875,0.9414069614360021,0.453125,-0.44915119821162064,2023-01-03,2025-10-23,705
AVGO,1343.0582779565132,0.7875881841412178,0.9660906373844166,0.4943181818181818,0.6900095182957418,2023-01-03,2025-10-23,705
AMZN,870.7413584719337,0.5150369358694669,0.949311187499868,0.4943181818181818,-0.34715612609291185,2023-01-03,2025-10-23,705
NVDA,4726.824457632481,-0.8569952319042822,0.9744813248914285,0.5142045454545454,1.0437770512560673,2023-01-03,2025-10-23,705
TSLA,11308.545047415679,-0.8584813378582639,0.8886265898243119,0.4943181818181818,-0.5187700114945434,2023-01-03,2025-10-23,705
SPY,13265.17812651119,-0.8634285254105587,0.9525889132114161,0.5198863636363636,-0.24977614532195655,2023-01-03,2025-10-23,705
AAPL,2984.8668395622153,-2.295621702019762,0.9099145280287099,0.4943181818181818,-0.29498024099170345,2023-01-03,2025-10-23,705
QQQ,51763.893053064596,-5.832963906972748,0.9702148762150432,0.5284090909090909,0.522147844013896,2023-01-03,2025-10-23,705
