Date,QQQ
2010-01-04,40.393577575683594
2010-01-05,40.393577575683594
2010-01-06,40.149932861328125
2010-01-07,40.176029205322266
2010-01-08,40.506690979003906
2010-01-11,40.34135437011719
2010-01-12,39.8366584777832
2010-01-13,40.33265686035156
2010-01-14,40.36744689941406
2010-01-15,39.897560119628906
2010-01-19,40.54150390625
2010-01-20,39.958473205566406
2010-01-21,39.58429336547851
2010-01-22,38.426971435546875
2010-01-25,38.557491302490234
2010-01-26,38.592315673828125
2010-01-27,38.89686584472656
2010-01-28,37.89616394042969
2010-01-29,37.23482894897461
2010-02-01,37.6438102722168
2010-02-02,37.983184814453125
2010-02-03,38.192020416259766
2010-02-04,37.08689880371094
2010-02-05,37.40016174316406
2010-02-08,37.130409240722656
2010-02-09,37.51327133178711
2010-02-10,37.43497848510742
2010-02-11,38.000579833984375
2010-02-12,38.078895568847656
2010-02-16,38.566192626953125
2010-02-17,38.78374099731445
2010-02-18,39.02738952636719
2010-02-19,39.009986877441406
2010-02-22,38.931678771972656
2010-02-23,38.426971435546875
2010-02-24,38.81856155395508
2010-02-25,38.809837341308594
2010-02-26,38.94906997680664
2010-03-01,39.51468276977539
2010-03-02,39.63651657104492
2010-03-03,39.680030822753906
2010-03-04,39.81056594848633
2010-03-05,40.41097259521485
2010-03-08,40.48927688598633
2010-03-09,40.715538024902344
2010-03-10,41.04619216918945
2010-03-11,41.202823638916016
2010-03-12,41.2115364074707
2010-03-15,41.10711669921875
2010-03-16,41.368186950683594
2010-03-17,41.48128509521485
2010-03-18,41.62051773071289
2010-03-19,41.36876678466797
2010-03-22,41.74333190917969
2010-03-23,42.03079605102539
2010-03-24,41.83045196533203
2010-03-25,41.76948165893555
2010-03-26,41.813045501708984
2010-03-29,42.013370513916016
2010-03-30,42.15276336669922
2010-03-31,41.952415466308594
2010-04-01,41.952415466308594
2010-04-05,42.344390869140625
2010-04-06,42.46635437011719
2010-04-07,42.36183547973633
2010-04-08,42.45764923095703
2010-04-09,42.71028137207031
2010-04-12,42.74510955810547
2010-04-13,42.96289825439453
2010-04-14,43.47682571411133
2010-04-15,43.66849899291992
2010-04-16,43.14581298828125
2010-04-19,43.11968231201172
2010-04-20,43.33746337890625
2010-04-21,43.58138656616211
2010-04-22,43.825286865234375
2010-04-23,44.00822830200195
2010-04-26,43.912391662597656
2010-04-27,42.98030471801758
2010-04-28,43.006446838378906
2010-04-29,43.75558090209961
2010-04-30,42.89320755004883
2010-05-03,43.4942741394043
2010-05-04,42.187618255615234
2010-05-05,41.969825744628906
2010-05-06,40.567344665527344
2010-05-07,39.55685806274414
2010-05-10,41.61266326904297
2010-05-11,41.569122314453125
2010-05-12,42.35309982299805
2010-05-13,41.68236541748047
2010-05-14,40.88093185424805
2010-05-17,41.01161575317383
2010-05-18,40.44541931152344
2010-05-19,40.123085021972656
2010-05-20,38.63350296020508
2010-05-21,39.06034851074219
2010-05-24,38.90354537963867
2010-05-25,38.93838882446289
2010-05-26,38.50284194946289
2010-05-27,39.95757293701172
2010-05-28,39.722381591796875
2010-06-01,39.35651779174805
2010-06-02,40.28859329223633
2010-06-03,40.671875
2010-06-04,39.278099060058594
2010-06-07,38.563812255859375
2010-06-08,38.49413299560547
2010-06-09,38.17183303833008
2010-06-10,39.26069259643555
2010-06-11,39.63527297973633
2010-06-14,39.62655258178711
2010-06-15,40.689308166503906
2010-06-16,40.85481262207031
2010-06-17,40.98548126220703
2010-06-18,41.01953125
2010-06-21,40.67042541503906
2010-06-22,40.35621643066406
2010-06-23,40.19041442871094
2010-06-24,39.5794792175293
2010-06-25,39.587364196777344
2010-06-28,39.44742202758789
2010-06-29,37.92584228515625
2010-06-30,37.34868621826172
2010-07-01,37.243751525878906
2010-07-02,37.13882064819336
2010-07-06,37.25250625610352
2010-07-07,38.44178009033203
2010-07-08,38.65166091918945
2010-07-09,39.01893615722656
2010-07-12,39.13262939453125
2010-07-13,39.63980484008789
2010-07-14,39.8409538269043
2010-07-15,39.875919342041016
2010-07-16,38.77408218383789
2010-07-19,39.10637664794922
2010-07-20,39.57858657836914
2010-07-21,39.03643798828125
2010-07-22,40.02457046508789
2010-07-23,40.278167724609375
2010-07-26,40.6104736328125
2010-07-27,40.59298324584961
2010-07-28,40.269432067871094
2010-07-29,39.97211837768555
2010-07-30,40.05955123901367
2010-08-02,40.81158447265625
2010-08-03,40.63670349121094
2010-08-04,41.04772186279297
2010-08-05,40.95153045654297
2010-08-06,40.89030075073242
2010-08-09,41.170135498046875
2010-08-10,40.81158447265625
2010-08-11,39.70103073120117
2010-08-12,39.38621520996094
2010-08-13,39.10637664794922
2010-08-16,39.17633056640625
2010-08-17,39.6747932434082
2010-08-18,39.83220672607422
2010-08-19,39.22879409790039
2010-08-20,39.281288146972656
2010-08-23,38.896514892578125
2010-08-24,38.17070007324219
2010-08-25,38.53797149658203
2010-08-26,38.074501037597656
2010-08-27,38.53797149658203
2010-08-30,38.13572311401367
2010-08-31,38.004547119140625
2010-09-01,39.14134979248047
2010-09-02,39.57858657836914
2010-09-03,40.23445892333984
2010-09-07,39.96337127685547
2010-09-08,40.4443244934082
2010-09-09,40.60173416137695
2010-09-10,40.75038528442383
2010-09-13,41.31880569458008
2010-09-14,41.49369812011719
2010-09-15,41.75604248046875
2010-09-16,41.92218399047851
2010-09-17,42.06418991088867
2010-09-20,42.80044937133789
2010-09-21,42.79168701171875
2010-09-22,42.67774200439453
2010-09-23,42.66022491455078
2010-09-24,43.5279655456543
2010-09-27,43.29130554199219
2010-09-28,43.27378845214844
