Date,AVGO
2010-01-04,1.331104755401611
2010-01-05,1.340985894203186
2010-01-06,1.351572871208191
2010-01-07,1.3431028127670288
2010-01-08,1.3529846668243408
2010-01-11,1.3614535331726074
2010-01-12,1.340985894203186
2010-01-13,1.3000504970550537
2010-01-14,1.300756573677063
2010-01-15,1.287346363067627
2010-01-19,1.2569979429244995
2010-01-20,1.2675846815109253
2010-01-21,1.2697019577026367
2010-01-22,1.2393532991409302
2010-01-25,1.245705008506775
2010-01-26,1.2534687519073486
2010-01-27,1.2287665605545044
2010-01-28,1.2506457567214966
2010-01-29,1.2266497611999512
2010-02-01,1.2351189851760864
2010-02-02,1.2492340803146362
2010-02-03,1.243587851524353
2010-02-04,1.2153568267822266
2010-02-05,1.2139447927474976
2010-02-08,1.2005351781845093
2010-02-09,1.1991236209869385
2010-02-10,1.185713529586792
2010-02-11,1.2090049982070925
2010-02-12,1.2252373695373535
2010-02-16,1.233707308769226
2010-02-17,1.2287665605545044
2010-02-18,1.2315895557403564
2010-02-19,1.237235188484192
2010-02-22,1.224531650543213
2010-02-23,1.2266497611999512
2010-02-24,1.252057433128357
2010-02-25,1.2767595052719116
2010-02-26,1.2809942960739136
2010-03-01,1.2915809154510498
2010-03-02,1.321224570274353
2010-03-03,1.334633469581604
2010-03-04,1.345220685005188
2010-03-05,1.3663935661315918
2010-03-08,1.3628652095794678
2010-03-09,1.3656880855560305
2010-03-10,1.3932136297225952
2010-03-11,1.401683330535889
2010-03-12,1.38686203956604
2010-03-15,1.3706287145614624
2010-03-16,1.3762751817703247
2010-03-17,1.4038004875183103
2010-03-18,1.4101521968841553
2010-03-19,1.4193272590637207
2010-03-22,1.4073292016983032
2010-03-23,1.427091121673584
2010-03-24,1.384744644165039
2010-03-25,1.38686203956604
2010-03-26,1.4052127599716189
2010-03-29,1.427091121673584
2010-03-30,1.43838369846344
2010-03-31,1.4510880708694458
2010-04-01,1.4468529224395752
2010-04-05,1.429914116859436
2010-04-06,1.459557294845581
2010-04-07,1.445441484451294
2010-04-08,1.4186217784881592
2010-04-09,1.4122698307037354
2010-04-12,1.4129756689071655
2010-04-13,1.4221506118774414
2010-04-14,1.520959973335266
2010-04-15,1.5498967170715332
2010-04-16,1.5442512035369873
2010-04-19,1.545662760734558
2010-04-20,1.5788345336914062
2010-04-21,1.5414279699325562
2010-04-22,1.519549012184143
2010-04-23,1.5167253017425537
2010-04-26,1.5378985404968262
2010-04-27,1.482141613960266
2010-04-28,1.4828481674194336
2010-04-29,1.5103739500045776
2010-04-30,1.4475592374801636
2010-05-03,1.490611553192139
2010-05-04,1.4150930643081665
2010-05-05,1.382627010345459
2010-05-06,1.3551015853881836
2010-05-07,1.3614535331726074
2010-05-10,1.4637919664382937
2010-05-11,1.4581459760665894
2010-05-12,1.4623805284500122
2010-05-13,1.4440301656723022
2010-05-14,1.4277970790863037
2010-05-17,1.4482648372650146
2010-05-18,1.4172099828720093
2010-05-19,1.4129756689071655
2010-05-20,1.4186217784881592
2010-05-21,1.3981539011001587
2010-05-24,1.368511199951172
2010-05-25,1.357218623161316
2010-05-26,1.4129756689071655
2010-05-27,1.5061386823654177
2010-05-28,1.4574400186538696
2010-06-01,1.4390894174575806
2010-06-02,1.4899057149887085
2010-06-03,1.5287237167358398
2010-06-04,1.4687323570251465
2010-06-07,1.465909123420715
2010-06-08,1.4884942770004272
2010-06-09,1.4870829582214355
2010-06-10,1.5386050939559937
2010-06-11,1.5477797985076904
2010-06-14,1.518136739730835
2010-06-15,1.5703645944595337
2010-06-16,1.6148293018341064
2010-06-17,1.6480003595352173
2010-06-18,1.6261217594146729
2010-06-21,1.6225929260253906
2010-06-22,1.571070909500122
2010-06-23,1.5908329486846924
2010-06-24,1.4990814924240112
2010-06-25,1.5153142213821411
2010-06-28,1.535076141357422
2010-06-29,1.4800244569778442
2010-06-30,1.4863770008087158
2010-07-01,1.5110796689987185
2010-07-02,1.5223723649978638
2010-07-06,1.472967267036438
2010-07-07,1.5294296741485596
2010-07-08,1.5378985404968262
2010-07-09,1.5534257888793943
2010-07-12,1.559778094291687
2010-07-13,1.58659827709198
2010-07-14,1.5731877088546753
2010-07-15,1.6169463396072388
2010-07-16,1.5520145893096924
2010-07-19,1.5717763900756836
2010-07-20,1.5527209043502808
2010-07-21,1.536487698554993
2010-07-22,1.6127119064331057
2010-07-23,1.6148293018341064
2010-07-26,1.6091829538345337
2010-07-27,1.5823633670806885
2010-07-28,1.5386050939559937
2010-07-29,1.536487698554993
2010-07-30,1.5357822179794312
2010-08-02,1.5407224893569946
2010-08-03,1.5244892835617063
2010-08-04,1.5767170190811155
2010-08-05,1.6049479246139526
2010-08-06,1.594361662864685
2010-08-09,1.616241216659546
2010-08-10,1.5738933086395264
2010-08-11,1.4277970790863037
2010-08-12,1.44050133228302
2010-08-13,1.4108585119247437
2010-08-16,1.4306203126907349
2010-08-17,1.4376776218414309
2010-08-18,1.4644978046417236
2010-08-19,1.4475592374801636
2010-08-20,1.4419127702713013
2010-08-23,1.4397951364517212
2010-08-24,1.428503155708313
2010-08-25,1.432031750679016
2010-08-26,1.453911066055298
2010-08-27,1.4334434270858765
2010-08-30,1.4115641117095947
2010-08-31,1.4221506118774414
2010-09-01,1.482141613960266
2010-09-02,1.4856712818145752
2010-09-03,1.4807310104370115
2010-09-07,1.4524991512298584
2010-09-08,1.4172099828720093
2010-09-09,1.3882733583450315
2010-09-10,1.316283106803894
2010-09-13,1.3374570608139038
2010-09-14,1.4045062065124512
2010-09-15,1.3487493991851809
