Date,ORCL
2010-01-04,20.0699462890625
2010-01-05,20.045717239379883
2010-01-06,19.75497055053711
2010-01-07,19.690349578857425
2010-01-08,19.93265151977539
2010-01-11,19.94072723388672
2010-01-12,19.83572769165039
2010-01-13,20.029556274414062
2010-01-14,20.507030487060547
2010-01-15,20.426105499267575
2010-01-19,20.49894905090332
2010-01-20,20.28044891357422
2010-01-21,20.094310760498047
2010-01-22,19.544002532958984
2010-01-25,19.446889877319336
2010-01-26,19.325489044189453
2010-01-27,19.309307098388672
2010-01-28,18.993688583374023
2010-01-29,18.661882400512695
2010-02-01,18.79137802124023
2010-02-02,19.22838592529297
2010-02-03,19.22029685974121
2010-02-04,18.70235252380371
2010-02-05,19.058439254760746
2010-02-08,18.710447311401367
2010-02-09,19.026060104370117
2010-02-10,18.70235252380371
2010-02-11,18.896581649780273
2010-02-12,18.945131301879883
2010-02-16,19.268842697143555
2010-02-17,19.56827735900879
2010-02-18,19.84343719482422
2010-02-19,19.68157958984375
2010-02-22,20.078121185302734
2010-02-23,19.811065673828125
2010-02-24,20.045747756958008
2010-02-25,20.12667655944824
2010-02-26,19.948633193969727
2010-03-01,20.02147102355957
2010-03-02,19.891986846923828
2010-03-03,19.82724380493164
2010-03-04,20.03765869140625
2010-03-05,20.19141960144043
2010-03-08,19.989107131958008
2010-03-09,20.13477325439453
2010-03-10,20.12667655944824
2010-03-11,20.345186233520508
2010-03-12,20.27234268188477
2010-03-15,20.458480834960938
2010-03-16,20.401836395263672
2010-03-17,20.612241744995117
2010-03-18,20.539409637451172
2010-03-19,20.385644912719727
2010-03-22,20.685077667236328
2010-03-23,21.033056259155273
2010-03-24,20.846933364868164
2010-03-25,21.07353401184082
2010-03-26,20.7902889251709
2010-03-29,20.69317054748535
2010-03-30,20.66889190673828
2010-03-31,20.806467056274418
2010-04-01,20.604156494140625
2010-04-05,20.70126724243164
2010-04-06,20.90357780456543
2010-04-07,20.968326568603516
2010-04-08,20.90357780456543
2010-04-09,21.14636993408203
2010-04-12,21.243667602539062
2010-04-13,21.36528587341309
2010-04-14,21.38961410522461
2010-04-15,21.243667602539062
2010-04-16,21.040956497192383
2010-04-19,21.23555564880371
2010-04-20,21.203125
2010-04-21,21.316635131835938
2010-04-22,21.276098251342773
2010-04-23,21.4706974029541
2010-04-26,21.462589263916016
2010-04-27,21.065279006958008
2010-04-28,20.967979431152344
2010-04-29,21.057172775268555
2010-04-30,20.976091384887695
2010-05-03,21.089603424072266
2010-05-04,20.246349334716797
2010-05-05,20.222026824951172
2010-05-06,19.386871337890625
2010-05-07,18.981460571289062
2010-05-10,19.77606964111328
2010-05-11,19.6138973236084
2010-05-12,19.946348190307617
2010-05-13,19.65444564819336
2010-05-14,19.28145980834961
2010-05-17,19.249032974243164
2010-05-18,18.99766540527344
2010-05-19,18.803077697753903
2010-05-20,18.121976852416992
2010-05-21,17.967918395996094
2010-05-24,18.06522560119629
2010-05-25,18.00035858154297
2010-05-26,17.765222549438477
2010-05-27,18.3084659576416
2010-05-28,18.30036163330078
2010-06-01,18.00035858154297
2010-06-02,18.357120513916016
2010-06-03,18.519290924072266
2010-06-04,17.94359016418457
2010-06-07,17.594947814941406
2010-06-08,17.643592834472656
2010-06-09,17.465213775634766
2010-06-10,18.00035858154297
2010-06-11,18.39766502380371
2010-06-14,18.39766502380371
2010-06-15,18.811187744140625
2010-06-16,18.794958114624023
2010-06-17,18.70577621459961
2010-06-18,18.811187744140625
2010-06-21,18.721994400024418
2010-06-22,18.559833526611328
2010-06-23,18.389558792114254
2010-06-24,18.016578674316406
2010-06-25,18.37333869934082
2010-06-28,18.203065872192383
2010-06-29,17.635482788085938
2010-06-30,17.400346755981445
2010-07-01,17.473318099975586
2010-07-02,17.700349807739258
2010-07-06,18.097660064697266
2010-07-07,18.721994400024418
2010-07-08,18.827394485473633
2010-07-09,18.94902992248535
2010-07-12,18.997785568237305
2010-07-13,19.26592063903809
2010-07-14,19.45281410217285
2010-07-15,19.363433837890625
2010-07-16,18.908397674560547
2010-07-19,19.168418884277344
2010-07-20,19.43656349182129
2010-07-21,19.1440486907959
2010-07-22,19.753463745117188
2010-07-23,19.907855987548828
2010-07-26,20.0216121673584
2010-07-27,19.96472930908203
2010-07-28,19.729084014892575
2010-07-29,19.257795333862305
2010-07-30,19.209049224853516
2010-08-02,19.737213134765625
2010-08-03,19.67220687866211
2010-08-04,19.89972496032715
2010-08-05,19.737213134765625
2010-08-06,19.810340881347656
2010-08-09,19.712831497192383
2010-08-10,19.737213134765625
2010-08-11,19.225292205810547
2010-08-12,18.640241622924805
2010-08-13,18.412731170654297
2010-08-16,18.46148681640625
2010-08-17,18.72963523864746
2010-08-18,18.762134552001953
2010-08-19,18.68900489807129
2010-08-20,18.70525360107422
2010-08-23,18.558990478515625
2010-08-24,18.209592819213867
2010-08-25,18.21772575378418
2010-08-26,18.079580307006836
2010-08-27,18.290847778320312
2010-08-30,17.892684936523438
2010-08-31,17.746423721313477
2010-09-01,18.380229949951172
2010-09-02,18.26647186279297
2010-09-03,18.624000549316406
2010-09-07,19.712831497192383
2010-09-08,19.615327835083008
2010-09-09,19.769712448120117
2010-09-10,20.35476303100586
2010-09-13,20.40351676940918
2010-09-14,20.62291145324707
2010-09-15,20.915437698364254
2010-09-16,20.60665702819824
2010-09-17,22.32929229736328
2010-09-20,22.337430953979492
2010-09-21,21.793006896972656
2010-09-22,22.10177993774414
2010-09-23,22.036771774291992
2010-09-24,21.906763076782227
2010-09-27,21.89863967895508
2010-09-28,22.093656539916992
