Date,AAPL
2010-01-04,6.424605846405029
2010-01-05,6.435714244842529
2010-01-06,6.333345413208008
2010-01-07,6.321633815765381
2010-01-08,6.363663673400879
2010-01-11,6.307527542114258
2010-01-12,6.235776901245117
2010-01-13,6.323737144470215
2010-01-14,6.287112236022949
2010-01-15,6.182042121887207
2010-01-19,6.455528259277344
2010-01-20,6.356160640716553
2010-01-21,6.2462849617004395
2010-01-22,5.936478614807129
2010-01-25,6.096185207366943
2010-01-26,6.182342052459717
2010-01-27,6.240583419799805
2010-01-28,5.98270845413208
2010-01-29,5.765663146972656
2010-02-01,5.845817565917969
2010-02-02,5.879739761352539
2010-02-03,5.980906963348389
2010-02-04,5.765363693237305
2010-02-05,5.867731094360352
2010-02-08,5.827504634857178
2010-02-09,5.889647483825684
2010-02-10,5.857524871826172
2010-02-11,5.964095592498779
2010-02-12,6.0154314041137695
2010-02-16,6.106090545654297
2010-02-17,6.080573081970215
2010-02-18,6.091981887817383
2010-02-19,6.05415678024292
2010-02-22,6.016633033752441
2010-02-23,5.915765285491943
2010-02-24,6.0238356590271
2010-02-25,6.064065456390381
2010-02-26,6.142716407775879
2010-03-01,6.273903846740723
2010-03-02,6.269700527191162
2010-03-03,6.284110069274902
2010-03-04,6.32553768157959
2010-03-05,6.572905540466309
2010-03-08,6.576807022094727
2010-03-09,6.69508695602417
2010-03-10,6.749721050262451
2010-03-11,6.769536972045898
2010-03-12,6.802558898925781
2010-03-15,6.719703674316406
2010-03-16,6.7380146980285645
2010-03-17,6.728109359741211
2010-03-18,6.744019985198975
2010-03-19,6.671971321105957
2010-03-22,6.747023582458496
2010-03-23,6.855393409729004
2010-03-24,6.885714054107666
2010-03-25,6.804059028625488
2010-03-26,6.931643962860107
2010-03-29,6.976375102996826
2010-03-30,7.080244064331055
2010-03-31,7.054727554321289
2010-04-01,7.083845138549805
2010-04-05,7.159495830535889
2010-04-06,7.191018581390381
2010-04-07,7.22283935546875
2010-04-08,7.203328609466553
2010-04-09,7.258562088012695
2010-04-12,7.273576259613037
2010-04-13,7.27777624130249
2010-04-14,7.375644207000732
2010-04-15,7.472607135772705
2010-04-16,7.426977634429932
2010-04-19,7.417071342468262
2010-04-20,7.342623710632324
2010-04-21,7.781815052032471
2010-04-22,7.999462604522705
2010-04-23,8.130346298217773
2010-04-26,8.09041976928711
2010-04-27,7.866470813751221
2010-04-28,7.853260517120361
2010-04-29,8.064603805541992
2010-04-30,7.837950706481934
2010-05-03,7.99586009979248
2010-05-04,7.7656025886535645
2010-05-05,7.684849739074707
2010-05-06,7.392453670501709
2010-05-07,7.080543518066406
2010-05-10,7.624810695648193
2010-05-11,7.700762271881104
2010-05-12,7.867972373962402
2010-05-13,7.755999565124512
2010-05-14,7.619706153869629
2010-05-17,7.631712436676025
2010-05-18,7.575876712799072
2010-05-19,7.455197811126709
2010-05-20,7.137582778930664
2010-05-21,7.274477005004883
2010-05-24,7.407763957977295
2010-05-25,7.361534595489502
2010-05-26,7.328210353851318
2010-05-27,7.605597496032715
2010-05-28,7.711563587188721
2010-06-01,7.830150127410889
2010-06-02,7.923810482025147
2010-06-03,7.898892402648926
2010-06-04,7.683948993682861
2010-06-07,7.533248424530029
2010-06-08,7.48491621017456
2010-06-09,7.300890922546387
2010-06-10,7.520340919494629
2010-06-11,7.610400676727295
2010-06-14,7.633516788482666
2010-06-15,7.795927047729492
2010-06-16,8.022876739501953
2010-06-17,8.161569595336914
2010-06-18,8.227615356445312
2010-06-21,8.110535621643066
2010-06-22,8.221007347106934
2010-06-23,8.134552001953125
2010-06-24,8.075410842895508
2010-06-25,8.006363868713379
2010-06-28,8.054394721984863
2010-06-29,7.690252304077148
2010-06-30,7.550960063934326
2010-07-01,7.459396839141846
2010-07-02,7.413166522979736
2010-07-06,7.463902473449707
2010-07-07,7.765305995941162
2010-07-08,7.747894763946533
2010-07-09,7.793825149536133
2010-07-12,7.723878383636475
2010-07-13,7.559068202972412
2010-07-14,7.586979866027832
2010-07-15,7.548556327819824
2010-07-16,7.5020270347595215
2010-07-19,7.372338771820068
2010-07-20,7.561766624450684
2010-07-21,7.632313251495361
2010-07-22,7.775806427001953
2010-07-23,7.803423881530762
2010-07-26,7.783618450164795
2010-07-27,7.927713871002197
2010-07-28,7.834047794342041
2010-07-29,7.748489856719971
2010-07-30,7.72267484664917
2010-08-02,7.8607659339904785
2010-08-03,7.863167285919189
2010-08-04,7.8946943283081055
2010-08-05,7.856262683868408
2010-08-06,7.807933330535889
2010-08-09,7.857761859893799
2010-08-10,7.78751802444458
2010-08-11,7.510733604431152
2010-08-12,7.558765888214111
2010-08-13,7.478010177612305
2010-08-16,7.434179306030273
2010-08-17,7.564169883728027
2010-08-18,7.597187519073486
2010-08-19,7.501427173614502
2010-08-20,7.494223594665527
2010-08-23,7.378944396972656
2010-08-24,7.2027268409729
2010-08-25,7.291586399078369
2010-08-26,7.213234424591064
2010-08-27,7.2534613609313965
2010-08-30,7.279877662658691
2010-08-31,7.297891139984131
2010-09-01,7.514934539794922
2010-09-02,7.5701727867126465
2010-09-03,7.768308639526367
2010-09-07,7.739487171173096
2010-09-08,7.89288854598999
2010-09-09,7.897394180297852
2010-09-10,7.907598972320557
2010-09-13,8.016569137573242
2010-09-14,8.047194480895996
2010-09-15,8.112035751342773
2010-09-16,8.30265998840332
2010-09-17,8.266637802124023
2010-09-20,8.502599716186523
2010-09-21,8.51880931854248
2010-09-22,8.638290405273438
2010-09-23,8.67341423034668
2010-09-24,8.775480270385742
2010-09-27,8.740653991699219
