Date,MSFT
2010-04-30,22.973291397094727
2010-05-03,23.21401023864746
2010-05-04,22.66487693786621
2010-05-05,22.45425033569336
2010-05-06,21.799806594848633
2010-05-07,21.220579147338867
2010-05-10,21.769716262817383
2010-05-11,21.72457695007324
2010-05-12,22.145837783813477
2010-05-13,21.995376586914062
2010-05-14,21.762191772460938
2010-05-17,21.769716262817383
2010-05-18,21.611026763916016
2010-05-19,21.338998794555664
2010-05-20,20.48514175415039
2010-05-21,20.2811222076416
2010-05-24,19.850412368774418
2010-05-25,19.69928741455078
2010-05-26,18.8983211517334
2010-05-27,19.646392822265625
2010-05-28,19.495269775390625
2010-06-01,19.563270568847656
2010-06-02,19.993980407714844
2010-06-03,20.296236038208008
2010-06-04,19.48771095275879
2010-06-07,19.109893798828125
2010-06-08,18.973878860473633
2010-06-09,18.732078552246097
2010-06-10,18.89075088500977
2010-06-11,19.389482498168945
2010-06-14,19.268577575683594
2010-06-15,20.08465576171875
2010-06-16,19.888195037841797
2010-06-17,19.925979614257812
2010-06-18,19.978870391845703
2010-06-21,19.608613967895508
2010-06-22,19.472599029541016
2010-06-23,19.12500762939453
2010-06-24,18.89075088500977
2010-06-25,18.53561210632324
2010-06-28,18.369373321533203
2010-06-29,17.613750457763672
2010-06-30,17.387054443359375
2010-07-01,17.500404357910156
2010-07-02,17.583515167236328
2010-07-06,17.99911880493164
2010-07-07,18.361820220947266
2010-07-08,18.444948196411133
2010-07-09,18.33915328979492
2010-07-12,18.762304306030273
2010-07-13,18.98899269104004
2010-07-14,19.223241806030273
2010-07-15,19.2761287689209
2010-07-16,18.80764389038086
2010-07-19,19.06455421447754
2010-07-20,19.253461837768555
2010-07-21,18.981443405151367
2010-07-22,19.525487899780273
2010-07-23,19.50282287597656
2010-07-26,19.721960067749023
2010-07-27,19.76729393005371
2010-07-28,19.608613967895508
2010-07-29,19.66905975341797
2010-07-30,19.50282287597656
2010-08-02,19.895751953125
2010-08-03,19.76729393005371
2010-08-04,19.442373275756836
2010-08-05,19.17034339904785
2010-08-06,19.30635643005371
2010-08-09,19.351696014404297
2010-08-10,18.94365692138672
2010-08-11,18.784975051879883
2010-08-12,18.505386352539062
2010-08-13,18.4373779296875
2010-08-16,18.512941360473633
2010-08-17,18.77123260498047
2010-08-18,18.854795455932617
2010-08-19,18.566123962402344
2010-08-20,18.406597137451172
2010-08-23,18.444578170776367
2010-08-24,18.26224899291992
2010-08-25,18.30784034729004
2010-08-26,18.09513282775879
2010-08-27,18.178699493408203
2010-08-30,17.958396911621094
2010-08-31,17.829246520996094
2010-09-01,18.155908584594727
2010-09-02,18.186290740966797
2010-09-03,18.452177047729492
2010-09-07,18.201480865478516
2010-09-08,18.178699493408203
2010-09-09,18.239465713500977
2010-09-10,18.117921829223633
2010-09-13,19.075098037719727
2010-09-14,19.014318466186523
2010-09-15,19.08269691467285
2010-09-16,19.242218017578125
2010-09-17,19.15865898132324
2010-09-20,19.31818962097168
2010-09-21,19.10548210144043
2010-09-22,18.695266723632812
2010-09-23,18.558536529541016
2010-09-24,18.82440757751465
2010-09-27,18.78641891479492
2010-09-28,18.748443603515625
2010-09-29,18.6116943359375
2010-09-30,18.604103088378903
2010-10-01,18.52054214477539
2010-10-04,18.163503646850582
2010-10-05,18.497756958007812
2010-10-06,18.558536529541016
2010-10-07,18.63449478149414
2010-10-08,18.664880752563477
2010-10-11,18.680070877075195
2010-10-12,18.862390518188477
2010-10-13,19.24981689453125
2010-10-14,19.1662540435791
2010-10-15,19.40174865722656
2010-10-18,19.61445045471191
2010-10-19,19.0674991607666
2010-10-20,19.227027893066406
2010-10-21,19.310590744018555
2010-10-22,19.280202865600582
2010-10-25,19.135866165161133
2010-10-26,19.675228118896484
2010-10-27,19.78917121887207
2010-10-28,19.96390151977539
2010-10-29,20.26016616821289
2010-11-01,20.47287368774414
2010-11-02,20.807125091552734
2010-11-03,20.53365135192871
2010-11-04,20.617202758789062
2010-11-05,20.39690589904785
2010-11-08,20.366519927978516
2010-11-09,20.47287368774414
2010-11-10,20.465269088745117
2010-11-11,20.26776123046875
2010-11-12,19.956298828125
2010-11-15,19.90312767028809
2010-11-16,19.727331161499023
2010-11-17,19.54388999938965
2010-11-18,19.75027084350586
2010-11-19,19.6356201171875
2010-11-22,19.666194915771484
2010-11-23,19.19994354248047
2010-11-24,19.391021728515625
2010-11-26,19.299301147460938
2010-11-29,19.345165252685547
2010-11-30,19.306949615478516
2010-12-01,19.903125762939453
2010-12-02,20.55280876159668
2010-12-03,20.652175903320312
2010-12-06,20.514591217041016
2010-12-07,20.537521362304688
2010-12-08,20.81267547607422
2010-12-09,20.69803047180176
2010-12-10,20.896753311157227
2010-12-13,20.827964782714844
2010-12-14,21.11077308654785
2010-12-15,21.286563873291016
2010-12-16,21.39356803894043
2010-12-17,21.324777603149418
2010-12-20,21.25598526000977
2010-12-21,21.4547176361084
2010-12-22,21.546432495117188
2010-12-23,21.630512237548828
2010-12-27,21.4547176361084
2010-12-28,21.408855438232425
2010-12-29,21.378276824951172
2010-12-30,21.286563873291016
2010-12-31,21.332429885864254
2011-01-03,21.38592529296875
2011-01-04,21.470008850097656
2011-01-05,21.401216506958008
2011-01-06,22.027965545654297
2011-01-07,21.859804153442383
2011-01-10,21.569358825683594
2011-01-11,21.48529052734375
2011-01-12,21.82158851623535
2011-01-13,21.546432495117188
2011-01-14,21.630512237548828
2011-01-18,21.90566635131836
2011-01-19,21.76044464111328
2011-01-20,21.668729782104492
2011-01-21,21.416501998901367
2011-01-24,21.69165802001953
