Dataset,Samples,RMSE,MAE,R2,MAPE,DirectionAccuracy
Train,2739,4.826238310087865,3.5224811446714592,0.9951781381277213,4.015464265133276,62.16216216216216
Validation,503,45.41220454862543,35.879484339689405,0.7088366785062499,13.467445481060286,47.808764940239044
Test,706,261.833989412731,208.24768419779056,-1.11218311170949,36.67650365887172,50.212765957446805
