Dataset,Samples,RMSE,MAE,R2,MAPE,DirectionAccuracy
Train,2488,0.011247452949034406,0.008037694729864597,-0.00021469593048095703,134.71605,54.62218649517685
Validation,445,0.020187182580488548,0.014756347052752972,-0.0015920400619506836,111.90803,51.460674157303366
Test,705,0.019032311819882755,0.013698473572731018,-0.002633333206176758,10398.034,55.88652482269504
