Dataset,Samples,RMSE,MAE,R2,MAPE,DirectionAccuracy
Train,2739,0.8077885262536413,0.5999043322950003,0.9926564706750491,9.185676848757767,50.73046018991965
Validation,503,15.689214128820732,14.119410679781176,-6.924399104253574,28.476488142216166,47.808764940239044
Test,706,144.67896611487146,119.62021289803826,-2.285646352334115,70.03373565910353,47.65957446808511
