Date,ActualPrice,PredictedPrice,Dataset
2016-10-18,127.7822723388672,124.324265,Train
2016-10-19,129.3128204345703,123.34513,Train
2016-10-20,129.2034912109375,122.63012,Train
2016-10-21,131.26083374023438,122.38921,Train
2016-10-24,132.46340942382812,122.34784,Train
2016-10-25,131.4794464111328,122.62675,Train
2016-10-26,130.23712158203125,122.94162,Train
2016-10-27,128.8953857421875,123.21961,Train
2016-10-28,130.485595703125,123.65853,Train
2016-10-31,130.18740844726562,123.94777,Train
2016-11-01,128.70657348632812,124.35596,Train
2016-11-02,126.3908462524414,124.68456,Train
2016-11-03,119.26476287841795,124.54273,Train
2016-11-04,120.01016998291016,123.8397,Train
2016-11-07,121.40159606933594,122.60883,Train
2016-11-08,123.45890808105467,121.556496,Train
2016-11-09,122.42528533935548,120.49984,Train
2016-11-10,120.05987548828124,119.73974,Train
2016-11-11,118.29076385498048,119.092255,Train
2016-11-14,114.37491607666016,118.60395,Train
2016-11-15,116.4819107055664,118.26268,Train
2016-11-16,115.62718200683594,117.923355,Train
2016-11-17,117.0683135986328,117.641594,Train
2016-11-18,116.30301666259766,117.45418,Train
2016-11-21,121.02392578125,117.13699,Train
2016-11-22,120.72576904296876,116.62767,Train
2016-11-23,120.09961700439452,116.35553,Train
2016-11-25,119.64244079589844,116.32378,Train
2016-11-28,119.67225646972656,116.35702,Train
2016-11-29,120.1294403076172,116.2353,Train
2016-11-30,117.69444274902344,116.32307,Train
2016-12-01,114.3947982788086,116.290085,Train
2016-12-02,114.69295501708984,116.11237,Train
2016-12-05,116.71051788330078,115.987305,Train
2016-12-06,116.59123992919922,115.647156,Train
2016-12-07,117.22732543945312,115.44966,Train
2016-12-08,118.1814422607422,115.36728,Train
2016-12-09,118.9467315673828,115.33514,Train
2016-12-12,117.04842376708984,115.351875,Train
2016-12-13,119.57286071777344,115.31947,Train
2016-12-14,119.4734878540039,115.36322,Train
2016-12-15,119.83126831054688,115.53807,Train
2016-12-16,119.13556671142578,115.74553,Train
2016-12-19,118.50941467285156,115.96468,Train
2016-12-20,118.36033630371094,116.23882,Train
2016-12-21,118.31065368652344,116.53761,Train
2016-12-22,116.68069458007812,116.88,Train
2016-12-23,116.55148315429688,117.11533,Train
2016-12-27,117.28695678710938,117.26115,Train
2016-12-28,116.2036361694336,117.3224,Train
2016-12-29,115.63713073730467,117.324455,Train
2016-12-30,114.34510040283205,117.2764,Train
2017-01-03,116.14401245117188,117.20996,Train
2017-01-04,117.96279907226562,117.124374,Train
2017-01-05,119.93065643310548,117.08689,Train
2017-01-06,122.65386962890624,117.24659,Train
2017-01-09,124.13475036621094,117.52522,Train
2017-01-10,123.58811950683594,117.952095,Train
2017-01-11,125.31745147705078,118.39157,Train
2017-01-12,125.8442153930664,118.82719,Train
2017-01-13,127.5536651611328,119.20025,Train
2017-01-17,127.08655548095705,119.50522,Train
2017-01-18,127.13623809814452,119.72473,Train
2017-01-19,126.7685089111328,119.901596,Train
2017-01-20,126.26163482666016,120.1809,Train
2017-01-23,128.14004516601562,120.791985,Train
2017-01-24,128.57737731933594,121.61064,Train
2017-01-25,130.67440795898438,122.54033,Train
2017-01-26,131.96646118164062,123.475075,Train
2017-01-27,131.3701171875,124.386505,Train
2017-01-30,130.17750549316406,125.11286,Train
2017-01-31,129.52154541015625,125.67405,Train
2017-02-01,132.4136962890625,126.06604,Train
2017-02-02,130.03836059570312,126.33288,Train
2017-02-03,130.17750549316406,126.58313,Train
2017-02-06,131.25086975097656,126.68141,Train
2017-02-07,131.03221130371094,127.25067,Train
2017-02-08,133.3777618408203,127.89507,Train
2017-02-09,133.31813049316406,128.63216,Train
2017-02-10,133.36782836914062,129.33287,Train
2017-02-13,133.2286834716797,129.9228,Train
2017-02-14,133.0299072265625,130.26012,Train
2017-02-15,132.62245178222656,130.11966,Train
2017-02-16,133.01998901367188,129.98178,Train
2017-02-17,132.71188354492188,129.92589,Train
2017-02-21,132.9007110595703,129.90837,Train
2017-02-22,135.28599548339844,130.07773,Train
2017-02-23,134.5306396484375,130.40549,Train
2017-02-24,134.6101531982422,130.6285,Train
2017-02-27,135.57421875,130.78578,Train
2017-02-28,134.7095489501953,130.88953,Train
2017-03-01,136.57803344726562,130.86005,Train
2017-03-02,135.92208862304688,130.95476,Train
2017-03-03,136.32957458496094,131.13991,Train
2017-03-06,136.57803344726562,130.97295,Train
2017-03-07,136.4587860107422,130.74721,Train
2017-03-08,136.87620544433594,130.65282,Train
2017-03-09,137.39300537109375,130.65802,Train
2017-03-10,137.9396209716797,130.83347,Train
2017-03-13,138.7446746826172,131.15308,Train
2017-03-14,138.46640014648438,131.56955,Train
2017-03-15,138.8639373779297,131.92969,Train
2017-03-16,139.13230895996094,132.21373,Train
2017-03-17,138.9832000732422,132.33345,Train
2017-03-20,139.08261108398438,132.37627,Train
2017-03-21,137.661376953125,132.71803,Train
2017-03-22,138.7347412109375,132.98833,Train
2017-03-23,138.6750946044922,133.27612,Train
2017-03-24,139.48013305664062,133.33655,Train
2017-03-27,139.46026611328125,133.48087,Train
2017-03-28,140.8914337158203,133.71442,Train
2017-03-29,141.7760009765625,133.96484,Train
2017-03-30,141.5374755859375,134.30086,Train
2017-03-31,141.17967224121094,134.5132,Train
2017-04-03,141.40826416015625,134.65326,Train
2017-04-04,140.8616180419922,134.71333,Train
2017-04-05,140.98089599609375,134.982,Train
2017-04-06,140.3050537109375,134.99278,Train
2017-04-07,139.91746520996094,135.1565,Train
2017-04-10,140.17584228515625,135.39871,Train
2017-04-11,139.06271362304688,135.68777,Train
2017-04-12,138.72479248046875,135.89992,Train
2017-04-13,138.5359649658203,135.99214,Train
2017-04-17,140.5535125732422,136.08563,Train
2017-04-18,140.09634399414062,136.20139,Train
2017-04-19,141.39834594726562,136.28267,Train
2017-04-20,142.9189453125,136.45169,Train
2017-04-21,142.79969787597656,136.68956,Train
2017-04-24,144.57872009277344,136.92032,Train
2017-04-25,145.5924530029297,137.13313,Train
2017-04-26,145.66204833984375,137.34628,Train
2017-04-27,146.7950439453125,137.57176,Train
2017-04-28,149.3294219970703,137.65157,Train
2017-05-01,151.52590942382812,137.70396,Train
2017-05-02,151.8439178466797,137.78497,Train
2017-05-03,150.8699493408203,137.96281,Train
2017-05-04,149.92575073242188,138.25581,Train
2017-05-05,149.31948852539062,138.44186,Train
2017-05-08,150.1344451904297,138.8263,Train
2017-05-09,149.5580291748047,139.05084,Train
2017-05-10,149.36917114257812,139.33127,Train
2017-05-11,149.12071228027344,139.2628,Train
2017-05-12,149.40895080566406,139.17567,Train
2017-05-15,149.26979064941406,139.17809,Train
2017-05-16,148.86231994628906,139.19832,Train
2017-05-17,143.9625244140625,139.49385,Train
2017-05-18,146.75531005859375,139.72273,Train
2017-05-19,147.15284729003906,139.92694,Train
2017-05-22,147.3317413330078,140.18092,Train
2017-05-23,147.1627960205078,140.54214,Train
2017-05-24,149.12071228027344,141.23563,Train
2017-05-25,151.02896118164062,142.06195,Train
2017-05-26,151.19790649414062,142.78201,Train
2017-05-30,151.44638061523438,143.38283,Train
2017-05-31,150.5320281982422,143.94742,Train
2017-06-01,150.60159301757812,144.34258,Train
2017-06-02,152.66883850097656,144.4394,Train
2017-06-05,152.688720703125,144.54349,Train
2017-06-06,151.8737335205078,144.51437,Train
2017-06-07,152.1818389892578,144.1484,Train
2017-06-08,153.76210021972656,143.7664,Train
2017-06-09,148.68341064453125,143.30092,Train
2017-06-12,147.53050231933594,142.37952,Train
2017-06-13,149.7567901611328,141.90839,Train
2017-06-14,149.3294219970703,141.65915,Train
2017-06-15,148.88218688964844,142.03438,Train
2017-06-16,149.71705627441406,143.58115,Train
2017-06-19,151.93336486816406,147.75021,Train
2017-06-20,151.3171844482422,152.32161,Train
2017-06-21,152.9669952392578,155.26106,Train
2017-06-22,152.46011352539062,157.52641,Train
2017-06-23,154.11990356445312,155.80104,Train
2017-06-26,152.64895629882812,153.73877,Train
2017-06-27,149.6573944091797,151.90446,Train
2017-06-28,152.3011016845703,150.99945,Train
2017-06-29,150.11456298828125,150.52919,Train
2017-06-30,150.0549774169922,151.95206,Train
2017-07-03,147.5205841064453,153.09962,Train
2017-07-05,149.41888427734375,153.63155,Train
