Dataset,Samples,RMSE,MAE,R2,MAPE,DirectionAccuracy
Train,2739,7.623696729288393,5.196325925666079,0.9388246370789652,90.234599031832,52.994886778670555
Validation,503,77.55851356552576,60.58565785159647,-0.9374507827138638,20.890730242813664,49.20318725099602
Test,706,93.27517119149952,70.33753910010665,-0.42145814855413577,24.528432635754168,50.49645390070921
