Dataset,Samples,RMSE,MAE,R2,MAPE,DirectionAccuracy
Train,2488,0.014099266621222559,0.009957202710211277,0.0011151432991027832,152.81664,55.064308681672024
Validation,445,0.025421680659979764,0.017811870202422142,-0.002561807632446289,108.99688,48.98876404494382
Test,705,0.0200151658241403,0.014592111110687256,-0.0005725622177124023,17253.3,52.90780141843972
