Date,ActualPrice,PredictedPrice,Dataset
2010-02-17,9.215714454650879,15.860374,Train
2010-02-18,9.442856788635254,15.592232,Train
2010-02-19,9.521429061889648,15.430199,Train
2010-02-22,9.324286460876465,15.291206,Train
2010-02-23,9.192856788635254,15.058495,Train
2010-02-24,9.241429328918457,14.887764,Train
2010-02-25,9.372857093811035,14.772987,Train
2010-02-26,9.435713768005371,14.6238785,Train
2010-03-01,9.95714282989502,14.574684,Train
2010-03-02,9.854286193847656,14.639717,Train
2010-03-03,9.649999618530273,14.67524,Train
2010-03-04,9.715714454650879,14.622963,Train
2010-03-05,9.664285659790039,14.666664,Train
2010-03-08,9.811429023742676,14.723427,Train
2010-03-09,9.991429328918457,14.818718,Train
2010-03-10,10.182856559753418,14.916695,Train
2010-03-11,10.170000076293945,15.094002,Train
2010-03-12,9.997142791748047,15.2168045,Train
2010-03-15,9.942856788635254,15.280785,Train
2010-03-16,10.09000015258789,15.300621,Train
2010-03-17,10.131428718566895,15.2957535,Train
2010-03-18,10.077142715454102,15.2337265,Train
2010-03-19,10.064286231994629,15.164406,Train
2010-03-22,10.412857055664062,15.234566,Train
2010-03-23,10.422857284545898,15.322655,Train
2010-03-24,10.338570594787598,15.347771,Train
2010-03-25,10.505714416503906,15.3244095,Train
2010-03-26,10.614286422729492,15.298607,Train
2010-03-29,10.557143211364746,15.302834,Train
2010-03-30,10.722857475280762,15.252968,Train
2010-03-31,10.534285545349121,15.249809,Train
2010-04-01,10.714285850524902,15.21772,Train
2010-04-05,11.427143096923828,15.194954,Train
2010-04-06,11.90999984741211,15.186913,Train
2010-04-07,11.390000343322754,15.105644,Train
2010-04-08,11.6899995803833,14.79641,Train
2010-04-09,11.774286270141602,14.671593,Train
2010-04-12,11.882857322692871,14.700264,Train
2010-04-13,12.34000015258789,14.572609,Train
2010-04-14,12.510000228881836,14.573311,Train
2010-04-15,12.40428638458252,14.573463,Train
2010-04-16,12.187143325805664,14.596565,Train
2010-04-19,12.114286422729492,14.613579,Train
2010-04-20,12.438570976257324,14.631325,Train
2010-04-21,12.425713539123535,14.735756,Train
2010-04-22,14.321429252624512,14.8378525,Train
2010-04-23,14.247142791748047,15.007408,Train
2010-04-26,15.45285701751709,15.2393875,Train
2010-04-27,14.581428527832031,15.531349,Train
2010-04-28,14.19857120513916,15.728035,Train
2010-04-29,14.738571166992188,15.900902,Train
2010-04-30,14.128570556640625,16.058723,Train
2010-05-03,14.569999694824219,16.136436,Train
2010-05-04,14.194286346435547,16.213036,Train
2010-05-05,14.032856941223145,16.360786,Train
2010-05-06,13.852856636047363,16.454353,Train
2010-05-07,13.012857437133789,16.30883,Train
2010-05-10,13.928570747375488,16.05877,Train
2010-05-11,14.260000228881836,16.146141,Train
2010-05-12,15.40428638458252,16.164574,Train
2010-05-13,15.715714454650879,16.330086,Train
2010-05-14,14.365714073181152,16.348427,Train
2010-05-17,15.192856788635254,16.283531,Train
2010-05-18,14.572856903076172,16.330452,Train
2010-05-19,14.372857093811035,16.162132,Train
2010-05-20,13.569999694824219,15.939232,Train
2010-05-21,14.210000038146973,15.698784,Train
2010-05-24,14.517143249511719,15.6465225,Train
2010-05-25,15.0,15.688728,Train
2010-05-26,14.971428871154785,15.781349,Train
2010-05-27,15.55142879486084,15.890038,Train
2010-05-28,15.878570556640625,16.20234,Train
2010-06-01,15.327142715454102,16.401497,Train
2010-06-02,15.825714111328125,16.506569,Train
2010-06-03,15.978570938110352,16.609428,Train
2010-06-04,15.682856559753418,16.716179,Train
2010-06-07,15.59428596496582,16.63601,Train
2010-06-08,15.761428833007812,16.55732,Train
2010-06-09,16.489999771118164,16.59858,Train
2010-06-10,16.95142936706543,16.648369,Train
2010-06-11,17.24142837524414,16.72625,Train
2010-06-14,18.11571311950682,16.80146,Train
2010-06-15,17.64285659790039,16.946327,Train
2010-06-16,17.809999465942383,17.005104,Train
2010-06-17,17.979999542236328,17.026497,Train
2010-06-18,18.059999465942383,17.117516,Train
2010-06-21,16.998571395874023,17.25927,Train
2010-06-22,16.632856369018555,17.123772,Train
2010-06-23,16.82428550720215,17.057152,Train
2010-06-24,16.46428680419922,17.050468,Train
2010-06-25,16.854286193847656,16.953972,Train
2010-06-28,16.801429748535156,16.830223,Train
2010-06-29,16.082857131958008,16.815056,Train
2010-06-30,15.521429061889648,16.681313,Train
2010-07-01,15.665714263916016,16.52285,Train
2010-07-02,15.29714298248291,16.498009,Train
2010-07-06,15.324286460876465,16.557793,Train
2010-07-07,16.927143096923828,16.777489,Train
2010-07-08,16.711429595947266,17.146217,Train
2010-07-09,16.790000915527344,17.525658,Train
2010-07-12,17.054285049438477,18.008987,Train
2010-07-13,17.2742862701416,18.520622,Train
2010-07-14,17.571428298950195,18.933662,Train
2010-07-15,17.301429748535156,19.137825,Train
2010-07-16,16.912857055664062,19.259148,Train
2010-07-19,16.985713958740234,19.218658,Train
2010-07-20,17.198570251464844,19.24395,Train
2010-07-21,17.092857360839844,19.19799,Train
2010-07-22,14.794285774230957,19.029343,Train
2010-07-23,15.385713577270508,18.267654,Train
2010-07-26,14.684286117553711,17.965195,Train
2010-07-27,14.869999885559082,17.690895,Train
2010-07-28,14.329999923706055,17.821037,Train
2010-07-29,14.002857208251953,17.947357,Train
2010-07-30,14.649999618530273,18.392235,Train
2010-08-02,14.554286003112793,19.017601,Train
2010-08-03,14.915714263916016,19.793297,Train
2010-08-04,15.447142601013184,20.829018,Train
2010-08-05,15.789999961853027,22.060905,Train
2010-08-06,16.902856826782227,23.2818,Train
