Dataset,Samples,RMSE,MAE,R2,MAPE,DirectionAccuracy
Train,2739,0.28364763693371736,0.2015304181938321,0.9919158205702161,21.28394849010661,52.11833455076699
Validation,503,7.856120471178379,6.1332544228191646,-1.2023159193648958,28.224874497089246,47.410358565737056
Test,706,95.09130286029016,80.3915105784581,-2.5405362571935157,77.67454768183687,47.94326241134752
