Ticker,Dataset,Samples,RMSE,MAE,R2,MAPE,DirectionAccuracy
AAPL,Train,2488,0.012587027029965522,0.009046508930623531,0.0024030208587646484,202.2198,55.82797427652733
AAPL,Validation,445,0.019294795333761293,0.014558257535099983,0.0011237859725952148,9458.875,51.23595505617977
AAPL,Test,705,0.01649567110104878,0.011234931647777557,-0.0012596845626831055,18940.164,55.46099290780142
MSFT,Train,2488,0.010692210944116884,0.007574834395200014,0.01171267032623291,207.28877,55.345659163987136
MSFT,Validation,445,0.018413915525688617,0.013797448016703129,0.002018451690673828,26304.67,48.764044943820224
MSFT,Test,705,0.01469623941897534,0.010522549971938133,0.0011124610900878906,124.46887,54.751773049645394
GOOGL,Train,2488,0.011247452949034406,0.008037694729864597,-0.00021469593048095703,134.71605,54.62218649517685
GOOGL,Validation,445,0.020187182580488548,0.014756347052752972,-0.0015920400619506836,111.90803,51.460674157303366
GOOGL,Test,705,0.019032311819882755,0.013698473572731018,-0.002633333206176758,10398.034,55.88652482269504
META,Train,1889,0.01529120149881948,0.01041578222066164,0.018423616886138916,135.19583,53.20275277924827
META,Validation,445,0.032300998596477844,0.02112017199397087,-0.0017391443252563477,118.91354,48.98876404494382
META,Test,705,0.024366330932450758,0.015771254897117615,-0.024026155471801758,25187.03,46.241134751773046
AMZN,Train,2488,0.014099266621222559,0.009957202710211277,0.0011151432991027832,152.81664,55.064308681672024
AMZN,Validation,445,0.025421680659979764,0.017811870202422142,-0.002561807632446289,108.99688,48.98876404494382
AMZN,Test,705,0.0200151658241403,0.014592111110687256,-0.0005725622177124023,17253.3,52.90780141843972
NVDA,Train,2488,0.018101250226231505,0.012339449487626553,0.0005531907081604004,134.93283,54.90353697749196
NVDA,Validation,445,0.035013478506531755,0.02691570483148098,-0.0008058547973632812,32976.137,51.68539325842697
NVDA,Test,705,0.0321417726245538,0.022715948522090912,-0.006206989288330078,23370.715,55.88652482269504
TSLA,Train,2366,0.024824004039166007,0.01767883449792862,0.011775195598602295,141.61473,54.437869822485204
TSLA,Validation,445,0.038000872261124405,0.028024455532431602,-0.008464694023132324,116.88534,51.68539325842697
TSLA,Test,705,0.03848779328061214,0.028247348964214325,-0.008166074752807617,141.85432,51.91489361702127
NFLX,Train,2488,0.023466164722889406,0.014939730986952782,0.02329397201538086,150.55711,54.42122186495176
NFLX,Validation,445,0.03425956316534123,0.02165030501782894,-0.0013273954391479492,113.17511,53.48314606741573
NFLX,Test,705,0.021463502558033885,0.014802776277065277,-0.002215743064880371,3007.359,51.06382978723404
AVGO,Train,2488,0.015327780678783239,0.010769293643534184,0.01386326551437378,116.981445,56.35048231511254
AVGO,Validation,445,0.021188042907753436,0.016111105680465698,0.00052642822265625,107.97382,51.01123595505618
AVGO,Test,705,0.02975969711734452,0.019648179411888123,-0.006493687629699707,1501.4417,51.06382978723404
ORCL,Train,2488,0.01092146961079906,0.0072561283595860004,0.011519551277160645,236.80891,55.58681672025724
ORCL,Validation,445,0.019397282852995867,0.013408290222287178,0.003420531749725342,111.50812,49.66292134831461
ORCL,Test,705,0.027197334068595744,0.015873664990067482,-0.005830883979797363,21430.018,51.205673758865245
