Date,SPY
2010-01-04,85.27920532226562
2010-01-05,85.50495147705078
2010-01-06,85.56515502929688
2010-01-07,85.92633819580078
2010-01-08,86.2123031616211
2010-01-11,86.33269500732422
2010-01-12,85.52751159667969
2010-01-13,86.24989318847656
2010-01-14,86.48319244384766
2010-01-15,85.51248931884766
2010-01-19,86.58100891113281
2010-01-20,85.70059967041016
2010-01-21,84.05266571044922
2010-01-22,82.17898559570312
2010-01-25,82.60034942626953
2010-01-26,82.25422668457031
2010-01-27,82.64552307128906
2010-01-28,81.69738006591797
2010-01-29,80.8094253540039
2010-02-01,82.06607055664062
2010-02-02,83.05937194824219
2010-02-03,82.64552307128906
2010-02-04,80.09459686279297
2010-02-05,80.26011657714844
2010-02-08,79.68070983886719
2010-02-09,80.68151092529297
2010-02-10,80.52348327636719
2010-02-11,81.36627197265625
2010-02-12,81.29854583740234
2010-02-16,82.57778930664062
2010-02-17,82.96910095214844
2010-02-18,83.45819854736328
2010-02-19,83.63125610351562
2010-02-22,83.64627838134766
2010-02-23,82.63045501708984
2010-02-24,83.39043426513672
2010-02-25,83.27761840820312
2010-02-26,83.33023834228516
2010-03-01,84.19563293457031
2010-03-02,84.42890930175781
2010-03-03,84.50414276123047
2010-03-04,84.7599868774414
2010-03-05,85.97150421142578
2010-03-08,85.98653411865234
2010-03-09,86.1295394897461
2010-03-10,86.5132827758789
2010-03-11,86.87446594238281
2010-03-12,86.88202667236328
2010-03-15,86.90457153320312
2010-03-16,87.59687042236328
2010-03-17,88.11607360839844
2010-03-18,88.07090759277344
2010-03-19,87.62512969970703
2010-03-22,88.0936050415039
2010-03-23,88.71319580078125
2010-03-24,88.28250122070312
2010-03-25,88.1389389038086
2010-03-26,88.08602905273438
2010-03-29,88.64518737792969
2010-03-30,88.70558166503906
2010-03-31,88.40339660644531
2010-04-01,89.00782775878906
2010-04-05,89.73324584960938
2010-04-06,89.94478607177734
2010-04-07,89.43099975585938
2010-04-08,89.74075317382812
2010-04-09,90.3301010131836
2010-04-12,90.47370147705078
2010-04-13,90.54166412353516
2010-04-14,91.56928253173828
2010-04-15,91.64481353759766
2010-04-16,90.18653106689452
2010-04-19,90.5265655517578
2010-04-20,91.33505249023438
2010-04-21,91.16883087158205
2010-04-22,91.44084167480467
2010-04-23,92.03775024414062
2010-04-26,91.69017028808594
2010-04-27,89.52164459228516
2010-04-28,90.20166778564452
2010-04-29,91.31993103027344
2010-04-30,89.77098083496094
2010-05-03,90.93460845947266
2010-05-04,88.7962875366211
2010-05-05,88.26740264892578
2010-05-06,85.33570861816406
2010-05-07,84.06632232666016
2010-05-10,87.76871490478516
2010-05-11,87.51934051513672
2010-05-12,88.7433853149414
2010-05-13,87.6402359008789
2010-05-14,86.05350494384766
2010-05-17,86.09882354736328
2010-05-18,84.92770385742188
2010-05-19,84.44412994384766
2010-05-20,81.25555419921875
2010-05-21,82.44183349609375
2010-05-24,81.38400268554688
2010-05-25,81.46710205078125
2010-05-26,80.9759750366211
2010-05-27,83.68852996826172
2010-05-28,82.63825988769531
2010-06-01,81.24800109863281
2010-06-02,83.36363983154297
2010-06-03,83.65074920654297
2010-06-04,80.7115478515625
2010-06-07,79.70659637451172
2010-06-08,80.56044006347656
2010-06-09,80.1297378540039
2010-06-10,82.4720458984375
2010-06-11,82.87250518798828
2010-06-14,82.74405670166016
2010-06-15,84.6254653930664
2010-06-16,84.5952377319336
2010-06-17,84.73124694824219
2010-06-18,84.82310485839844
2010-06-21,84.5801773071289
2010-06-22,83.18327331542969
2010-06-23,82.9251480102539
2010-06-24,81.55103302001953
2010-06-25,81.89266967773438
2010-06-28,81.63455200195312
2010-06-29,79.11407470703125
2010-06-30,78.36249542236328
2010-07-01,78.01325988769531
2010-07-02,77.58812713623047
2010-07-06,78.09678649902344
2010-07-07,80.55653381347656
2010-07-08,81.35364532470703
2010-07-09,81.96097564697266
2010-07-12,82.0141372680664
2010-07-13,83.2515869140625
2010-07-14,83.24401092529297
2010-07-15,83.26679992675781
2010-07-16,80.97406005859375
2010-07-19,81.45235443115234
2010-07-20,82.35578918457031
2010-07-21,81.28533935546875
2010-07-22,83.09976959228516
2010-07-23,83.82100677490234
2010-07-26,84.69404602050781
2010-07-27,84.68645477294922
2010-07-28,84.13983154296875
2010-07-29,83.72987365722656
2010-07-30,83.71471405029297
2010-08-02,85.60506439208984
2010-08-03,85.19514465332031
2010-08-04,85.76448059082031
2010-08-05,85.67337036132812
2010-08-06,85.32417297363281
2010-08-09,85.77967071533203
2010-08-10,85.31656646728516
2010-08-11,82.97828674316406
2010-08-12,82.46961975097656
2010-08-13,82.22669219970703
2010-08-16,82.18875122070312
2010-08-17,83.19844818115234
2010-08-18,83.35029602050781
2010-08-19,81.90026092529297
2010-08-20,81.63455200195312
2010-08-23,81.32329559326172
2010-08-24,80.11617279052734
2010-08-25,80.42745208740234
2010-08-26,79.8884506225586
2010-08-27,81.12590789794922
2010-08-30,79.94916534423828
2010-08-31,79.94916534423828
2010-09-01,82.34059143066406
2010-09-02,83.10736846923828
2010-09-03,84.1854019165039
2010-09-07,83.23640441894531
2010-09-08,83.82100677490234
2010-09-09,84.20818328857422
2010-09-10,84.63329315185547
2010-09-13,85.57470703125
2010-09-14,85.52155303955078
2010-09-15,85.84801483154297
2010-09-16,85.8252182006836
2010-09-17,85.85726928710938
2010-09-20,87.17007446289062
2010-09-21,86.99451446533203
2010-09-22,86.56710052490234
2010-09-23,85.86491394042969
2010-09-24,87.63565063476562
2010-09-27,87.21586608886719
2010-09-28,87.52113342285156
