Dataset,Samples,RMSE,MAE,R2,MAPE,DirectionAccuracy
Train,2488,0.02364207309961893,0.015086931176483631,0.008595764636993408,161.22763,51.60771704180064
Validation,445,0.03440927475165991,0.021824436262249947,-0.010097980499267578,119.25138,52.359550561797754
Test,705,0.02178742494551223,0.015079433098435402,-0.032694458961486816,34459.203,48.652482269503544
