Ticker,Dataset,Samples,RMSE,MAE,R2,MAPE,DirectionAccuracy
AAPL,Train,2488,0.012544063394569094,0.009046590887010098,0.00920170545578003,164.20247,55.345659163987136
AAPL,Validation,445,0.01927696335387274,0.014554983004927635,0.0029692649841308594,11485.065,49.8876404494382
AAPL,Test,705,0.016487550531303387,0.011300812475383282,-0.0002741813659667969,14780.513,50.92198581560283
MSFT,Train,2488,0.010725319688783807,0.007635750342160463,0.005582571029663086,284.12183,54.38102893890675
MSFT,Validation,445,0.018423928650925812,0.01381773967295885,0.0009327530860900879,5769.4116,48.98876404494382
MSFT,Test,705,0.01470691363840456,0.01056783925741911,-0.00033915042877197266,153.8087,53.333333333333336
GOOGL,Train,2488,0.011096821899253108,0.007933144457638264,0.026396512985229492,129.7253,55.345659163987136
GOOGL,Validation,445,0.020288980862495847,0.014909680001437664,-0.011718988418579102,118.851006,44.9438202247191
GOOGL,Test,705,0.01919629879412851,0.013840995728969574,-0.019985675811767578,17193.71,50.35460992907801
META,Train,1889,0.014680336453002471,0.010104825720191002,0.09528273344039917,212.24294,57.06723133933298
META,Validation,445,0.032110110396876404,0.02088616043329239,0.010065734386444092,156.89084,52.80898876404494
META,Test,705,0.024664378809192013,0.016183597967028618,-0.04923117160797119,84308.93,49.645390070921984
AMZN,Train,2488,0.01390348150221886,0.009873248636722565,0.028663814067840576,214.21315,55.9887459807074
AMZN,Validation,445,0.025577172796510082,0.017968952655792236,-0.014863729476928711,148.70914,52.359550561797754
AMZN,Test,705,0.020071336978951113,0.014777958393096924,-0.006196498870849609,139197.9,51.48936170212765
NVDA,Train,2488,0.018421449183237494,0.012887513265013695,-0.035118699073791504,210.72379,48.11093247588424
NVDA,Validation,445,0.03532256747204617,0.027262620627880096,-0.018553614616394043,18387.256,45.84269662921348
NVDA,Test,705,0.032610067144294895,0.023328039795160294,-0.03574061393737793,21506.906,44.9645390070922
TSLA,Train,2366,0.026806866491995606,0.019879460334777832,-0.15240240097045898,380.30472,46.61876584953508
TSLA,Validation,445,0.038575115072725534,0.028755364939570427,-0.03917348384857178,163.34274,49.8876404494382
TSLA,Test,705,0.038932114792637834,0.028422489762306213,-0.03157806396484375,134.69835,48.226950354609926
NFLX,Train,2488,0.02364207309961893,0.015086931176483631,0.008595764636993408,161.22763,51.60771704180064
NFLX,Validation,445,0.03440927475165991,0.021824436262249947,-0.010097980499267578,119.25138,52.359550561797754
NFLX,Test,705,0.02178742494551223,0.015079433098435402,-0.032694458961486816,34459.203,48.652482269503544
AVGO,Train,2488,0.015090256763153896,0.010606087744235992,0.044189393520355225,143.75156,57.27491961414791
AVGO,Validation,445,0.021265874245937903,0.0162339024245739,-0.006829977035522461,139.2067,49.8876404494382
AVGO,Test,705,0.02999174378980543,0.019949547946453094,-0.022250771522521973,13015.894,49.07801418439716
ORCL,Train,2488,0.011190325839217197,0.007785259746015072,-0.03774678707122803,714.4258,50.12057877813505
ORCL,Validation,445,0.019515599745700874,0.013845929875969887,-0.008774161338806152,166.95633,50.56179775280899
ORCL,Test,705,0.02725772438516148,0.016075197607278824,-0.01030266284942627,77724.48,53.758865248226954
