Dataset,Samples,RMSE,MAE,R2,MAPE,DirectionAccuracy
Train,2488,0.012544063394569094,0.009046590887010098,0.00920170545578003,164.20247,55.345659163987136
Validation,445,0.01927696335387274,0.014554983004927635,0.0029692649841308594,11485.065,49.8876404494382
Test,705,0.016487550531303387,0.011300812475383282,-0.0002741813659667969,14780.513,50.92198581560283
