Dataset,Samples,RMSE,MAE,R2,MAPE,DirectionAccuracy
Train,2366,0.026806866491995606,0.019879460334777832,-0.15240240097045898,380.30472,46.61876584953508
Validation,445,0.038575115072725534,0.028755364939570427,-0.03917348384857178,163.34274,49.8876404494382
Test,705,0.038932114792637834,0.028422489762306213,-0.03157806396484375,134.69835,48.226950354609926
