Date,ret_1d,ret_5d,ret_10d,ret_20d,ret_60d,ret_120d,mom_accel,vol_20d,vol_60d,parkinson_vol,vol_ratio,volume_ratio,volume_change,volume_mom,price_volume_div,rsi,ma5_bias,ma20_bias,ma_alignment,macd,macd_signal,macd_hist,bb_position,atr,amihud,hl_spread,roll_spread,52w_position,from_52w_high,overnight_ret,intraday_ret,gap
2022-09-01,0.0031377085112909,-0.0550403237622227,-0.0735469872958582,-0.0428568752331591,-0.0423524068649842,-0.0492792816800414,-0.1075884951731297,0.0124505496574706,0.0148464221710008,0.003793770922365,0.8386229028156036,1.2349214773493982,0.5456722605771629,1.2825350581434922,-0.6797273264006087,22.18985758336868,-0.0078338517185346,-0.0443981253276746,-1,-1.2729361125090008,2.538779494738968,-3.8117156072479688,0.0792205953501416,5.999517262588739,3.220165237400959e-13,0.0170021442058289,-0.0,0.2997404738515756,-0.1679461457241395,-0.0057949254793414,0.0089846996555906,-0.0057949254793414
2022-09-02,-0.0105444198172879,-0.0322470634696115,-0.0708297361254172,-0.0513460579697788,-0.0420351468595915,-0.0523786863078962,-0.1151534650923951,0.0125913220227354,0.0148426437535739,0.0042994940565705,0.8483207056494639,1.5118202642465912,-0.0335144101584098,1.2303863550285514,-0.5356436279670037,18.200707468567884,-0.0118306798063821,-0.0520487400889958,-1,-2.314271034124147,1.568169388966345,-3.882440423090492,0.0533918507925627,6.445316829818852,3.323679266227722e-13,0.0286304590707792,-0.0,0.2631588390795829,-0.1767196708742168,0.0097371208658436,-0.0200859612507267,0.0097371208658436
2022-09-06,-0.0037730568574025,-0.0294810311699461,-0.0546510361427542,-0.0538269652054009,-0.0223994404453494,-0.0762672199046099,-0.1286780946174824,0.0125896331000292,0.0145346819665964,0.0043003947507434,0.8661787804482229,1.1431653613320891,0.1723491222380635,1.2431202462363875,-0.0410312172598316,16.55769262409713,-0.0096359430259569,-0.0530817714280006,-1,-3.216595057481072,0.6112164996768616,-3.8278115571579336,0.0823027150922465,6.5033441857705965,3.3623007223302594e-13,0.0145869115237046,-0.0,0.2502070407732125,-0.1798259543655894,0.0022691504612908,-0.0060285276823223,0.0022691504612908
2022-09-07,0.0179649339902643,-0.0010798269294098,-0.0353341863417676,-0.0329889717993643,0.0248803385320046,-0.0800711103890949,-0.1131297567983955,0.0134012383742176,0.0142228377758481,0.0042594271943492,0.9422337922586992,1.0383799597505254,-0.1714861463309843,1.1764590544234146,-0.480480525222375,26.78873524351505,0.0083756695981871,-0.0344829521082394,-1,-3.351656702284629,-0.1813581407154364,-3.1702985615691923,0.2374364298879477,6.723850617919887,3.582837775696322e-13,0.0210920211086692,-0.0,0.3116427154278763,-0.1650915817752393,-0.0008445800651284,0.0188254136244578,-0.0008445800651284
2022-09-08,0.0065362142293419,0.0131584348075084,-0.0321271113695659,-0.0466917452885593,0.0722919002796387,-0.0854995043667651,-0.155342132671544,0.0124759620470393,0.0133136011795762,0.0041662461989584,0.9370839548790256,1.17219428573832,0.0630280008996484,1.1799884450934903,-0.6755861518309122,28.355480792806706,0.0122978234562329,-0.0258537155909148,-1,-3.2210462625925516,-0.7892957650908595,-2.431750497501692,0.3050472134320019,6.971669123461851,3.3074918525663525e-13,0.0168339830965028,-0.0,0.3343965241116115,-0.1596344414918412,-0.0060083829490793,0.0126204255279736,-0.0060083829490793
2022-09-09,0.0155352678644056,0.025679838123386,-0.0307739122433093,-0.031881846194268,0.0922417189241311,-0.081354298660324,-0.1432311543409192,0.0130958078708778,0.0134277620756167,0.0041769200273311,0.9752785160423988,1.0987964820188534,-0.0258216588498109,1.1596124763061986,-0.5365343510142325,37.86307048768165,0.0227592767874604,-0.0091059881921109,-1,-2.6077707709479796,-1.1529907662622836,-1.454780004685696,0.4307540987038195,7.003074989537704,3.568066613666115e-13,0.012420113710626,-0.0,0.3888312418133561,-0.146579137436396,0.0058943869229759,0.0095843868568756,0.0058943869229759
2022-09-12,0.0107477442450871,0.0477515145343279,0.0139646049447577,-0.0377663593581546,0.0884634002289388,-0.0712092996035974,-0.1467425109176862,0.0127041634830673,0.0133790870340581,0.0042848201083653,0.9495538410601048,0.9867254402336352,-0.3048796522405931,1.0668103379188028,0.3421408056296161,48.00333656739647,0.0241018343869299,0.0035162599436764,-1,-1.764377431813898,-1.2752680993726069,-0.4891093324412914,0.5278974194563323,6.688354527520289,3.429509822004141e-13,0.0079568326679248,-0.0,0.4270757924800891,-0.1374067882721407,0.0053616089530519,0.0053574109495231,0.0053616089530519
2022-09-13,-0.0434824732145444,0.0059883385673893,-0.0236692349985182,-0.0833837253437141,0.0767709548862591,-0.1218707197420377,-0.20620057795998,0.0156461297992021,0.0138917046281663,0.0046054678859829,1.1262930085252858,1.669729267282564,0.6042702388129033,1.1426845493298483,-0.904434041303474,37.41330147724136,-0.021569708508573,-0.0359099173399236,-1,-2.445971581729168,-1.509408795843919,-0.936562785885249,0.208513458284347,7.739701790564827,3.807170438405616e-13,0.0284405812826093,-0.0,0.2706856921363335,-0.1749144744961452,-0.0222400941832524,-0.021725557475736,-0.0222400941832524
2022-09-14,0.0038158114366313,-0.0079943162516928,-0.0090655107031319,-0.0816849985877944,0.0785548092732941,-0.1070199582585593,-0.1771041176892326,0.0156902102354863,0.0138950327606117,0.0045819029453184,1.1291956273729302,1.1348645462895002,0.1981210244038542,1.160591294491475,-0.0017253777938381,37.5603188568077,-0.0162789720266683,-0.0280476556792423,-1,-2.837744148439697,-1.7750758663630748,-1.062668282076622,0.2578226621743071,7.832551468928069,3.8264440951688777e-13,0.0128738393595238,-0.0,0.2838129754337805,-0.1717661037117286,0.0034850943689357,0.0003295684904054,0.0034850943689357
2022-09-15,-0.0113534270624239,-0.0256256995946537,-0.0128044588846583,-0.0856206587727766,0.0401257303417368,-0.1302689579840128,-0.1663764482171731,0.0157612236033922,0.013631518333419,0.0045569461392447,1.156233899840199,1.1512099923269132,0.0842855322271123,1.160139726109816,-0.1654303406124568,30.482114821716507,-0.0224468481251998,-0.0347400189925498,-1,-3.4539272768720934,-2.1108461484648786,-1.3430811284072148,0.1865984076677648,7.920622767634471,3.863249358968647e-13,0.0184045749145066,-0.0,0.2446054927937195,-0.1811693968438648,-0.0041562757198801,-0.0072271895349308,-0.0041562757198801
